s_no,title
0,"Lokendra Bahadur Chand elected RPP Chairman "
1,"Big 3 register amendment proposal at CA"
2,"Gachhadar-led alliance part ways from CA process "
3,"Three parties decide to stick to 7-state model, federal commission to resolve demarcation dispute"
4,"Appellate court clears way for NTB chief appointment "
5,"UML top brass urged to convince agitators "
6,"National Steering Committee for Volunteerism Nepal should play an active role in making volunteering professional"
7,"Govt should simultaneously address the post-quake problems and the Tharu protests against provinces"
8,"We must end the military’s harebrained schemes to use animals in warfare"
9,"American cities feel strange to me "
10,"Future provinces which blend resources, connectivity and skills will attract more visitors"
11,"The aviliability are stating  in the 7-state model "
12,"32 UML leaders, CA members from Madhes demand revision on demarcation"
13,"a play currently being staged at Mandala Theatre"
14,"Gachhadar-led front are quitting CA if statute drafting not halted"
15,"lawmakers from home are demanding 3 states in Madhes"
16,"Safety tips shared with female journalists "
17,"Squatters demand safe settlement "
18,"They are testing rock-barrier technology at Siddhababa "
19,"FinMin urges house panel not to intervene regarding the hike in paid-up capital requirements "
20,"Parties weigh 3 ways out of crisis "
21,"Govt needs to assure future generation of Nepalis that their efforts won"t go unrecognised"
22,"Prioritise bringing agitating parties to negotiation table "
23,"Export-oriented industries to get tax refund facility on purchase of raw materials "
24,"Caan to reacquire land for expansion of TIA "
25,"Civil Society urges govt to find political solution to crisis "
26,"Major parties form informal talks team to initiate back channel negotiations "
27,"ACC U-19 Premier League: Nepal has defeated Kuwait by 83 runs "
28,"‘Rajnath denies remarks on Madhesis’ "
29,"Why $40 oil is killing Iraq, Venezuela, but not Russia"
30,"An old man carries pot for selling "
31,"Nepal vs India goalless draw in Pune "
32,"NAC flying to Bangalore again from Tuesday "
33,"Airee, Khanal partnership help Nepal post a competitive total of 250 runs against Kuwait "
34,"The constitution needs to clearly state that Nepal is a secular state"
35,"Major parties should use the next 7 days to address the demands of the Madhesi parties & Tharus"
36,"CIEDP asks govt to criminalise enforced disapperances "
37,"UML urges int’l community to respect Nepal’s sovereignty "
38,"Hard to breathe: Govt needs to take immediate actions to reduce air pollution in the Valley "
39,"APF chief Kosh Raj Onta cancels South Sudan visit "
40,"PKK leader says Turkey protecting IS"
41,"Australia not curbing Vegemite sales"
42,"Spain "violated" Gibraltar waters"
43,"S Korea blames North for mine blast"
44,"PKK leader: "Turkey is protecting them""
45,"Trump: "Nothing to apologise for""
46,"Australians eat 32kgs chocolate a year"
47,"Spanish resort fines "beach hoggers""
48,"Web random numbers are too weak"
